Label,Name,Integration_Value__c,Country__c
Alberta,Alberta,AB,Canada
British Columbia,British_Columbia,BC,Canada
Manitoba,Manitoba,MB,Canada
New Brunswick,New_Brunswick,NB,Canada
Newfoundland and Labrador,Newfoundland_and_Labrador,NL,Canada
Northwest Territories,Northwest_Territories,NT,Canada
Nova Scotia,Nova_Scotia,NS,Canada
Nunavut,Nunavut,NU,Canada
Ontario,Ontario,ON,Canada
Prince Edward Island,Prince_Edward_Island,PE,Canada
Quebec,Quebec,QC,Canada
Saskatchewan,Saskatchewan,SK,Canada
Yukon,Yukon,YT,Canada
